index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
47,vision: cleanup vision-only wrapper,55.101,55.101,0.0,10617.812,10617.812,0.0,10617.812,10617.812,10617.812,55.101,37429.723,0.177,0.177,0.0,0.0,1
48,release host memory after vision compile,55.101,56.338,1.237,9844.297,893.773,-8950.523,893.773,5036.761,9844.297,55.411,37392.215,0.829,0.991,2.294,0.0,15
49,post: release host memory after vision compile,56.338,56.338,0.0,893.773,893.773,0.0,893.773,893.773,893.773,56.338,29763.66,0.48,0.48,0.0,0.0,1
50,qeff load language layerwise wrapper: QEFFAutoModelForImageTextToText.from_pretrained,56.338,56.535,0.197,894.266,1064.465,170.199,894.266,1068.042,1248.973,56.482,30213.68,5.018,6.773,0.329,0.0,4
51,post: qeff load language layerwise wrapper: QEFFAutoModelForImageTextToText.from_pretrained,56.535,56.536,0.0,1064.465,1064.465,0.0,1064.465,1064.465,1064.465,56.535,29893.668,4.741,4.741,0.0,0.0,1
52,prefill: compile request,56.536,56.536,0.0,1064.465,1064.465,0.0,1064.465,1064.465,1064.465,56.536,29893.668,3.319,3.319,0.0,0.0,1
53,prefill: build output names,56.536,56.536,0.0,1064.465,1064.465,0.0,1064.465,1064.465,1064.465,56.536,29893.668,2.323,2.323,0.0,0.0,1
54,prefill: post: build output names,56.536,56.536,0.0,1064.465,1064.465,0.0,1064.465,1064.465,1064.465,56.536,29893.668,1.626,1.626,0.0,0.0,1
55,prefill: vision pytorch transform,56.536,56.536,0.0,1064.465,1064.465,0.0,1064.465,1064.465,1064.465,56.536,29893.668,1.138,1.138,0.0,0.0,1
56,prefill: post: vision pytorch transform,56.536,56.536,0.0,1064.465,1064.465,0.0,1064.465,1064.465,1064.465,56.536,29893.668,0.797,0.797,0.0,0.0,1
57,prefill: language pytorch transform,56.536,56.537,0.0,1064.465,1064.465,0.0,1064.465,1064.465,1064.465,56.536,29893.668,0.558,0.558,0.0,0.0,1
58,prefill: post: language pytorch transform,56.537,56.537,0.0,1064.465,1064.465,0.0,1064.465,1064.465,1064.465,56.537,29893.668,0.39,0.39,0.0,0.0,1
59,prefill: dual-qpc export orchestration,56.537,56.537,0.0,1064.465,1064.465,0.0,1064.465,1064.465,1064.465,56.537,29893.668,0.273,0.273,0.0,0.0,1
60,prefill: build dummy inputs,56.537,56.543,0.006,1077.059,1077.059,0.0,1077.059,1077.059,1077.059,56.543,29893.668,13.559,13.559,0.0,0.0,1
61,prefill: post: build dummy inputs,56.543,56.543,0.0,1077.059,1077.059,0.0,1077.059,1077.059,1077.059,56.543,29893.668,22.843,22.843,0.0,0.0,1
62,prefill: build dynamic axes,56.543,56.543,0.0,1077.062,1077.062,0.0,1077.062,1077.062,1077.062,56.543,29893.668,45.99,45.99,0.0,0.0,1
63,prefill: post: build dynamic axes,56.543,56.544,0.0,1077.062,1077.062,0.0,1077.062,1077.062,1077.062,56.543,29893.668,32.193,32.193,0.0,0.0,1
64,prefill: build output names,56.544,56.544,0.0,1077.062,1077.062,0.0,1077.062,1077.062,1077.062,56.544,29893.668,22.535,22.535,0.0,0.0,1
65,prefill: post: build output names,56.544,56.544,0.0,1077.062,1077.062,0.0,1077.062,1077.062,1077.062,56.544,29893.668,15.775,15.775,0.0,0.0,1
66,prefill: language export,56.544,56.553,0.009,1077.344,1077.344,0.0,1077.344,1077.344,1077.344,56.552,29893.668,11.042,11.042,0.0,0.0,1
67,prefill: post: language export,56.553,56.553,0.0,1077.344,1077.344,0.0,1077.344,1077.344,1077.344,56.553,29893.668,7.73,7.73,0.0,0.0,1
68,prefill: post: dual-qpc export orchestration,56.553,59.145,2.592,1077.375,8228.246,7150.871,1077.375,11513.951,20536.617,57.712,478596.188,9.173,30.289,4.722,0.003,21
69,prefill: torch.onnx.export,59.145,69.917,10.772,8228.277,8372.965,144.688,8228.277,8287.951,8372.965,69.915,477219.18,29.534,44.283,2.112,5969.9,8
70,prefill: post: torch.onnx.export,69.917,69.917,0.0,8372.965,8372.965,0.0,8372.965,8372.965,8372.965,69.917,477219.18,22.251,22.251,0.0,0.0,1
71,prefill: onnx.load,69.917,69.918,0.001,8372.969,8372.969,0.0,8372.969,8372.969,8372.969,69.918,477219.18,15.576,15.576,0.0,0.0,1
72,prefill: post: onnx.load,69.918,69.918,0.0,8372.969,8372.969,0.0,8372.969,8372.969,8372.969,69.918,477219.18,17.938,17.938,0.0,0.0,1
73,"prefill: onnx transforms: SplitTensorsTransform,CustomOpTransform,RenameFunctionOutputsTransform",69.918,81.403,11.484,8420.223,14325.234,5905.012,8420.223,11409.583,14325.234,81.401,483142.203,1.82,12.853,5940.201,0.0,46
